antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'他', '正末', '我'})",frozenset({'唱'}),0.0020436865468289895,0.09671252142574606,0.001933810926031732,0.946236559139785,9.784012919839821,1.0,0.0017361608470840243,16.80114710148114,0.8996310127456495,0.019972764412165226,0.940480254475491,0.4831160073590313
"frozenset({'这', '正末', '俺'})",frozenset({'唱'}),0.0008130795938997055,0.09671252142574606,0.0007691293455808025,0.9459459459459459,9.781008001866898,1.0,0.0006904943679349403,16.710818353623697,0.8984915939588354,0.00794912559618442,0.9401585261213043,0.4769493419800168
"frozenset({'个', '正旦', '你'})",frozenset({'唱'}),0.0008130795938997055,0.09671252142574606,0.0007691293455808025,0.9459459459459459,9.781008001866898,1.0,0.0006904943679349403,16.710818353623697,0.8984915939588354,0.00794912559618442,0.9401585261213043,0.4769493419800168
"frozenset({'正末', '又'})",frozenset({'唱'}),0.0012086318287698327,0.09671252142574606,0.001142706456291478,0.9454545454545453,9.775926958749043,1.0,0.001025816624655737,16.56027044052795,0.8987942213338794,0.011807447774750226,0.939614512722407,0.4786350209663092
frozenset({'赤紧'}),frozenset({'的'}),0.0012086318287698327,0.14903529204940008,0.001142706456291478,0.9454545454545453,6.343829924130719,1.0,0.0009625776587105654,15.601019645760962,0.8433858610202364,0.007663964627855562,0.9359016254894779,0.47656095010857613
"frozenset({'你', '孛', '我'})",frozenset({'老云'}),0.000395552234870127,0.001010855711334769,0.00037357711071067554,0.9444444444444445,934.3019323671499,1.0,0.00037317726447492583,17.981804597196003,0.9993249674122199,0.36170212765957455,0.9443882289680795,0.6570048309178744
"frozenset({'是', '包'})",frozenset({'云'}),0.000395552234870127,0.08634026282248494,0.00037357711071067554,0.9444444444444445,10.93863295721275,1.0,0.0003394250267919675,16.445875269195295,0.9089404316070432,0.004325699745547074,0.9391944798539792,0.47438562257854705
frozenset({'酒保'}),frozenset({'云'}),0.000395552234870127,0.08634026282248494,0.00037357711071067554,0.9444444444444445,10.93863295721275,1.0,0.0003394250267919675,16.445875269195295,0.9089404316070432,0.004325699745547074,0.9391944798539792,0.47438562257854705
"frozenset({'也', '甚么', '正末'})",frozenset({'唱'}),0.000791104469740254,0.09671252142574606,0.0007471542214213511,0.9444444444444445,9.765482592340126,1.0,0.0006706445134415932,16.259174614336597,0.8983091631198333,0.007722007722007723,0.9384962629580074,0.47608498068620775
frozenset({'副旦'}),frozenset({'唱'}),0.000395552234870127,0.09671252142574606,0.00037357711071067554,0.9444444444444445,9.765482592340126,1.0,0.0003353222567207966,16.259174614336597,0.8979536943162774,0.003861880963198546,0.9384962629580074,0.474153601454215
"frozenset({'云', '太子'})",frozenset({'唱'}),0.000395552234870127,0.09671252142574606,0.00037357711071067554,0.9444444444444445,9.765482592340126,1.0,0.0003353222567207966,16.259174614336597,0.8979536943162774,0.003861880963198546,0.9384962629580074,0.474153601454215
"frozenset({'不', '云', '正末', '的'})",frozenset({'唱'}),0.000395552234870127,0.09671252142574606,0.00037357711071067554,0.9444444444444445,9.765482592340126,1.0,0.0003353222567207966,16.259174614336597,0.8979536943162774,0.003861880963198546,0.9384962629580074,0.474153601454215
"frozenset({'正末', '怎生', '的'})",frozenset({'唱'}),0.000395552234870127,0.09671252142574606,0.00037357711071067554,0.9444444444444445,9.765482592340126,1.0,0.0003353222567207966,16.259174614336597,0.8979536943162774,0.003861880963198546,0.9384962629580074,0.474153601454215
"frozenset({'你', '老', '正末'})",frozenset({'唱'}),0.000395552234870127,0.09671252142574606,0.00037357711071067554,0.9444444444444445,9.765482592340126,1.0,0.0003353222567207966,16.259174614336597,0.8979536943162774,0.003861880963198546,0.9384962629580074,0.474153601454215
"frozenset({'将', '正末', '的'})",frozenset({'唱'}),0.000395552234870127,0.09671252142574606,0.00037357711071067554,0.9444444444444445,9.765482592340126,1.0,0.0003353222567207966,16.259174614336597,0.8979536943162774,0.003861880963198546,0.9384962629580074,0.474153601454215
"frozenset({'你', '也', '是', '我', '做'})",frozenset({'的'}),0.000395552234870127,0.14903529204940008,0.00037357711071067554,0.9444444444444445,6.337052328057932,1.0,0.0003146258678660133,15.317364743110824,0.8425311911609527,0.0025062656641604013,0.9347146185540979,0.4734755398276484
"frozenset({'你', '也', '是', '做', '的'})",frozenset({'我'}),0.000395552234870127,0.17595481914472816,0.00037357711071067554,0.9444444444444445,5.36753951403633,1.0,0.0003039777887618093,14.832813255394916,0.8140168835736898,0.0021228771228771234,0.9325819058878609,0.47328379334748766
"frozenset({'来', '正末', '的'})",frozenset({'唱'}),0.0011646815804509296,0.09671252142574606,0.0010987562079725751,0.9433962264150944,9.754644098896906,1.0,0.0009861169156690427,15.958078788145157,0.898531230061822,0.011353315168029066,0.9373358150892904,0.47737864036046695
"frozenset({'你', '正末', '是', '我'})",frozenset({'唱'}),0.001933810926031732,0.09671252142574606,0.0018239353052344745,0.9431818181818181,9.752427134328974,1.0,0.0016369115746172887,15.897859622906852,0.8992003064439712,0.01883794825238311,0.9370984507525074,0.4810205841647559
"frozenset({'着', '云', '正末'})",frozenset({'唱'}),0.001538258691161605,0.09671252142574606,0.001450358194523799,0.942857142857143,9.749070016554679,1.0,0.0013015893178964922,15.80753087504947,0.8988087139552938,0.014982973893303065,0.9367390133282362,0.4789268672704256
"frozenset({'他', '正末', '了'})",frozenset({'唱'}),0.0007691293455808025,0.09671252142574606,0.0007251790972618995,0.942857142857143,9.749070016554679,1.0,0.0006507946589482461,15.80753087504947,0.8981168816888286,0.0074948898478310235,0.9367390133282362,0.47517771934949854
"frozenset({'正末', '这', '的'})",frozenset({'唱'}),0.0026589900232936317,0.09671252142574606,0.002505164154177471,0.9421487603305784,9.741745395956213,1.0,0.0022480065245788407,15.61396927249778,0.8997413938062078,0.025862068965517238,0.9359547862207347,0.4840259820739463
frozenset({'赵成'}),frozenset({'公云'}),0.00037357711071067554,0.00037357711071067554,0.000351601986551224,0.9411764705882353,2519.363321799308,1.0,0.0003514624266935771,16.993649189117917,0.9999766427048297,0.8888888888888887,0.9411544872516044,0.9411764705882353
frozenset({'公云'}),frozenset({'赵成'}),0.00037357711071067554,0.00037357711071067554,0.000351601986551224,0.9411764705882353,2519.363321799308,1.0,0.0003514624266935771,16.993649189117917,0.9999766427048297,0.8888888888888887,0.9411544872516044,0.9411764705882353
"frozenset({'庞', '云'})",frozenset({'涓'}),0.00037357711071067554,0.0006372786006240934,0.000351601986551224,0.9411764705882353,1476.8681541582152,1.0,0.0003513639138528851,16.989166263789386,0.9996963551627864,0.5333333333333333,0.941138959706846,0.7464503042596349
"frozenset({'白敏', '的'})",frozenset({'中云'}),0.00037357711071067554,0.0010987562079725751,0.000351601986551224,0.9411764705882353,856.5835294117646,1.0,0.0003511915163816742,16.981321144464463,0.999205851964211,0.31372549019607837,0.9411117667764043,0.6305882352941177
"frozenset({'是', '包', '云'})",frozenset({'待制'}),0.00037357711071067554,0.0012086318287698327,0.000351601986551224,0.9411764705882353,778.7122994652406,1.0,0.00035115046936471923,16.979453258910908,0.9990890654883597,0.28571428571428564,0.9411052885654493,0.616042780748663
"frozenset({'正末', '太子'})","frozenset({'唱', '云'})",0.00037357711071067554,0.020876367951478927,0.000351601986551224,0.9411764705882353,45.08334365325077,1.0,0.00034380305332977755,16.645101744824853,0.9781842863109761,0.01682439537329127,0.939922265701325,0.4790092879256966
